treeID,species,stems,x,y,dbh_in,dbh_m
1,QUDO,1,5,7,69.2912,1.76
2,QUAG,2,5.8,15,66.5353,1.69
3,QUAG,1,12.5,16.3,61.8109,1.57
4,QUAG,2,5.75,21,59.4487,1.51
5,QUAG,1,12.2,29.25,57.0865,1.45
6,QUDO,1,7.45,32.3,29.5275,0.75
7,QUDO,2,6.3,34,59.055,1.5
8,QUDO,1,1,35.3,106.299,2.7
9,QUDO,1,4.3,48,45.2755,1.15
10,QUDO,1,-8.3,2.4,41.7322,1.06
11,QUDO,2,-0.6,13.6,94.488,2.4
12,QUDO,2,-11.5,24,89.7636,2.28
13,QUDO,2,-2.1,25.3,40.5511,1.03
14,QUDO,1,-4.4,26.7,44.8818,1.14
15,QUDO,1,-11.5,27.5,51.5747,1.31
16,QUDO,1,-9.8,34.2,45.2755,1.15
17,QUDO,1,-10.6,40.7,36.6141,0.93